ext_no	num_t	p_size	qm.dbh	sd	sp	lati.	long.	alti.	slope	azimuth	m.age	cv.age	maxh1	maxh2	sp.k
33	78	0.04	0.188818526361784	1950	CS	34.36	126.68	277	5	350	42.2	0.135506904791429	11.6	12	강원지방소나무
33	78	0.04	0.188818526361784	1950	CS	34.36	126.68	277	5	350	42.2	0.135506904791429	11.6	12	산벚나무
33	78	0.04	0.188818526361784	1950	CS	34.36	126.68	277	5	350	42.2	0.135506904791429	11.6	12	서어나무
33	78	0.04	0.188818526361784	1950	CS	34.36	126.68	277	5	350	42.2	0.135506904791429	11.6	12	구실잣밤나무
34	74	0.04	0.151130112190823	1850	CS	34.36	126.68	272	10	260	32.4	0.195932966025974	13.5	13.3	붉가시나무
34	74	0.04	0.151130112190823	1850	CS	34.36	126.68	272	10	260	32.4	0.195932966025974	13.5	13.3	서어나무
34	74	0.04	0.151130112190823	1850	CS	34.36	126.68	272	10	260	32.4	0.195932966025974	13.5	13.3	구실잣밤나무
34	74	0.04	0.151130112190823	1850	CS	34.36	126.68	272	10	260	32.4	0.195932966025974	13.5	13.3	산벚나무
34	74	0.04	0.151130112190823	1850	CS	34.36	126.68	272	10	260	32.4	0.195932966025974	13.5	13.3	중부지방소나무
35	109	0.04	0.217093667688532	2725	CS	34.36	126.68	277	10	230	36	0.214267341951965	21.2	13.4	붉가시나무
35	109	0.04	0.217093667688532	2725	CS	34.36	126.68	277	10	230	36	0.214267341951965	21.2	13.4	중부지방소나무
35	109	0.04	0.217093667688532	2725	CS	34.36	126.68	277	10	230	36	0.214267341951965	21.2	13.4	구실잣밤나무
35	109	0.04	0.217093667688532	2725	CS	34.36	126.68	277	10	230	36	0.214267341951965	21.2	13.4	서어나무
35	109	0.04	0.217093667688532	2725	CS	34.36	126.68	277	10	230	36	0.214267341951965	21.2	13.4	산벚나무
35	109	0.04	0.217093667688532	2725	CS	34.36	126.68	277	10	230	36	0.214267341951965	21.2	13.4	졸참나무
36	91	0.04	0.131130544802574	2275	CS	34.36	126.65	203	20	300	21.6	0.326708866006988	6.8	7.2	중부지방소나무
36	91	0.04	0.131130544802574	2275	CS	34.36	126.65	203	20	300	21.6	0.326708866006988	6.8	7.2	붉가시나무
36	91	0.04	0.131130544802574	2275	CS	34.36	126.65	203	20	300	21.6	0.326708866006988	6.8	7.2	구실잣밤나무
36	91	0.04	0.131130544802574	2275	CS	34.36	126.65	203	20	300	21.6	0.326708866006988	6.8	7.2	서어나무
36	91	0.04	0.131130544802574	2275	CS	34.36	126.65	203	20	300	21.6	0.326708866006988	6.8	7.2	산벚나무
36	91	0.04	0.131130544802574	2275	CS	34.36	126.65	203	20	300	21.6	0.326708866006988	6.8	7.2	졸참나무
37	38	0.04	0.22248595461287	950	QS	35.73	127.74	950	15	225	37	0.126767993508741	21.2	17.8	졸참나무
37	38	0.04	0.22248595461287	950	QS	35.73	127.74	950	15	225	37	0.126767993508741	21.2	17.8	리기다소나무
37	38	0.04	0.22248595461287	950	QS	35.73	127.74	950	15	225	37	0.126767993508741	21.2	17.8	굴참나무
37	38	0.04	0.22248595461287	950	QS	35.73	127.74	950	15	225	37	0.126767993508741	21.2	17.8	신갈나무
38	17	0.01	0.246683889170879	1700	CJ	34.36	126.56	166	10	270	38.2	0.0749624139438552	23.6	21.2	삼나무
39	32	0.04	0.215667568261897	800	CJ	35.46	126.8	218	15	45	37	0.0331012127403132	19.6	19.9	삼나무
39	32	0.04	0.215667568261897	800	CJ	35.46	126.8	218	15	45	37	0.0331012127403132	19.6	19.9	편백
39	32	0.04	0.215667568261897	800	CJ	35.46	126.8	218	15	45	37	0.0331012127403132	19.6	19.9	굴참나무
40	14	0.04	0.303058810888486	350	PDe	37	128.8	626	15	35	44.4	0.0608525048923707	20.4	18.8	강원지방소나무
41	18	0.04	0.262088301489742	450	PDe	37	128.82	638	6	0	31.6	0.0794297493545008	16.1	15.9	강원지방소나무
42	13	0.005	0.0581304898151895	2600	PDe	36.89	128.74	683	24	105	10	0.0707106781186548	5.4	6	강원지방소나무
